path,year,model,gpu,problem,correct,tok_len,reported_completion_tokens,tokens_from_logprobs,length_consistent,len_chars,mean_token_logprob,mean_negative_logprob
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/5/gen_1/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/5/gen_1/result.json,,5,True,4095,4095,4095,True,12375,-0.45677952648260817,0.45677952648260817
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_4/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_4/result.json,,3,True,3651,3651,3651,True,10617,-0.4428038954192082,0.4428038954192082
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_0/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_0/result.json,,3,True,3571,3571,3571,True,10867,-0.45088238451015733,0.45088238451015733
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_7/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_7/result.json,,3,True,4054,4054,4054,True,12102,-0.5179398739319551,0.5179398739319551
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_2/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_2/result.json,,3,True,2432,2432,2432,True,6527,-0.31526232277694294,0.31526232277694294
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_5/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_5/result.json,,3,True,2290,2290,2290,True,6646,-0.32994250904385386,0.32994250904385386
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_3/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_3/result.json,,3,True,2843,2843,2843,True,7844,-0.312284866465265,0.312284866465265
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_6/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_6/result.json,,3,True,1999,1999,1999,True,5044,-0.1993947096936048,0.1993947096936048
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_1/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/3/gen_1/result.json,,3,True,3509,3509,3509,True,10106,-0.40098573546658256,0.40098573546658256
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_4/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_4/result.json,,1,True,3873,3873,3873,True,10602,-0.39238898810613093,0.39238898810613093
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_0/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_0/result.json,,1,False,4185,4185,4185,True,10193,-0.4327091055741471,0.4327091055741471
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_7/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_7/result.json,,1,True,6145,6145,6145,True,15144,-0.43421839559627784,0.43421839559627784
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_2/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_2/result.json,,1,False,4752,4752,4752,True,13494,-0.5537434999372649,0.5537434999372649
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_5/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_5/result.json,,1,True,3610,3610,3610,True,9951,-0.4522168057351809,0.4522168057351809
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_3/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_3/result.json,,1,True,3784,3784,3784,True,9320,-0.4254560345404912,0.4254560345404912
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_6/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_6/result.json,,1,True,3127,3127,3127,True,8594,-0.3290729653037487,0.3290729653037487
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_1/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/1/gen_1/result.json,,1,False,3774,3774,3774,True,9078,-0.3100109238221795,0.3100109238221795
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_4/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_4/result.json,,12,True,5699,5699,5699,True,17992,-0.5322772252949748,0.5322772252949748
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_0/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_0/result.json,,12,False,12335,12335,12335,True,44419,-0.7426301097116185,0.7426301097116185
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_7/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_7/result.json,,12,True,3702,3702,3702,True,12154,-0.5199642835807691,0.5199642835807691
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_2/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_2/result.json,,12,True,4379,4379,4379,True,15181,-0.5746702221925367,0.5746702221925367
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_5/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_5/result.json,,12,True,5419,5419,5419,True,17626,-0.4813834092827611,0.4813834092827611
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_3/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_3/result.json,,12,True,4913,4913,4913,True,17586,-0.5592335370534811,0.5592335370534811
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_6/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_6/result.json,,12,False,14389,14389,14389,True,51294,-0.8496483242831144,0.8496483242831144
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_1/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/12/gen_1/result.json,,12,True,5614,5614,5614,True,19603,-0.6069745121476334,0.6069745121476334
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_4/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_4/result.json,,14,False,10289,10289,10289,True,42781,-1.0116643196568744,1.0116643196568744
