problem,correct,total,accuracy_pct
1,376,640,58.75
2,474,672,70.54
3,320,606,52.81
4,250,598,41.81
5,290,642,45.17
6,204,604,33.77
7,228,592,38.51
8,262,634,41.32
9,206,642,32.09
10,120,630,19.05
11,130,634,20.50
12,142,610,23.28
13,102,600,17.00
14,88,638,13.79
15,34,602,5.65
