problem,bucket,metric,count,mean,std,min,p25,median,p75,max
8,correct,response_length_chars,262,16455.3969,6704.7664,5901.0000,11848.5000,15232.0000,19997.0000,40265.0000
8,correct,response_length_tokens,262,5461.3282,2169.2033,2381.0000,3947.2500,5079.0000,6372.0000,13892.0000
8,correct,mean_negative_logprob,262,0.4651,0.2761,0.0000,0.3080,0.5317,0.6777,0.9854
8,correct,mean_logprob,262,-0.4651,0.2761,-0.9854,-0.6777,-0.5317,-0.3080,-0.0000
8,incorrect,response_length_chars,372,29777.8763,9364.9516,6244.0000,23551.0000,29385.0000,37313.0000,57325.0000
8,incorrect,response_length_tokens,372,9804.1075,3273.0823,1908.0000,7759.0000,9895.0000,12544.0000,16000.0000
8,incorrect,mean_negative_logprob,372,0.3716,0.3622,0.0000,0.0000,0.4550,0.6952,1.0900
8,incorrect,mean_logprob,372,-0.3716,0.3622,-1.0900,-0.6952,-0.4550,-0.0000,-0.0000
9,correct,response_length_chars,206,14839.4757,6868.6635,4681.0000,10169.0000,12651.0000,19705.2500,41627.0000
9,correct,response_length_tokens,206,5215.5437,2564.8089,1578.0000,3492.2500,4407.0000,6532.5000,14893.0000
9,correct,mean_negative_logprob,206,0.3278,0.2466,0.0000,0.0000,0.3959,0.5230,0.7599
9,correct,mean_logprob,206,-0.3278,0.2466,-0.7599,-0.5230,-0.3959,-0.0000,-0.0000
9,incorrect,response_length_chars,436,27156.1835,9649.4846,2627.0000,20153.0000,28996.5000,34180.0000,54051.0000
9,incorrect,response_length_tokens,436,8703.9541,3250.6337,825.0000,6231.0000,8599.0000,11346.0000,16000.0000
9,incorrect,mean_negative_logprob,436,0.4689,0.3821,0.0000,0.0000,0.5431,0.7312,1.2059
9,incorrect,mean_logprob,436,-0.4689,0.3821,-1.2059,-0.7312,-0.5431,-0.0000,-0.0000
10,correct,response_length_chars,120,16755.7167,8483.1888,5690.0000,10147.0000,15696.0000,20156.0000,44611.0000
10,correct,response_length_tokens,120,5181.2333,2155.8692,2119.0000,3431.2500,4814.5000,6108.7500,11947.0000
10,correct,mean_negative_logprob,120,0.5480,0.1884,0.0000,0.4228,0.5421,0.6729,0.9678
10,correct,mean_logprob,120,-0.5480,0.1884,-0.9678,-0.6729,-0.5421,-0.4228,-0.0000
10,incorrect,response_length_chars,510,30362.7373,8697.0573,8146.0000,24170.2500,30334.0000,36290.5000,53637.0000
10,incorrect,response_length_tokens,510,9636.2667,2992.9480,2334.0000,7431.7500,9576.0000,11842.0000,16000.0000
10,incorrect,mean_negative_logprob,510,0.4076,0.3844,0.0000,0.0000,0.5587,0.7690,1.1382
10,incorrect,mean_logprob,510,-0.4076,0.3844,-1.1382,-0.7690,-0.5587,-0.0000,-0.0000
11,correct,response_length_chars,130,18998.1538,8375.3621,7402.0000,13631.0000,16569.0000,21469.0000,44458.0000
11,correct,response_length_tokens,130,6237.8308,2569.8333,2011.0000,4503.0000,5901.0000,6984.0000,14580.0000
11,correct,mean_negative_logprob,130,0.4188,0.2685,0.0000,0.0000,0.5124,0.6134,0.8168
11,correct,mean_logprob,130,-0.4188,0.2685,-0.8168,-0.6134,-0.5124,-0.0000,-0.0000
11,incorrect,response_length_chars,504,30323.6905,8629.4085,9373.0000,24351.2500,30645.5000,36146.0000,53773.0000
