metric,correct_count,correct_mean,correct_std,correct_min,correct_p25,correct_median,correct_p75,correct_max,incorrect_count,incorrect_mean,incorrect_std,incorrect_min,incorrect_p25,incorrect_median,incorrect_p75,incorrect_max
response_length_chars,3226,14792.7979,7325.0180,2608.0000,9399.0000,12949.0000,18339.0000,49892.0000,6118,28585.5521,9405.7427,2090.0000,22288.0000,29330.0000,35001.2500,70128.0000
response_length_tokens,3226,4876.3614,2367.5802,870.0000,3135.0000,4312.0000,6024.0000,15753.0000,6118,9015.3070,3130.1074,644.0000,6785.0000,9099.0000,11296.0000,16000.0000
mean_negative_logprob,3226,0.3952,0.2674,0.0000,0.0000,0.4461,0.5896,1.0558,6118,0.4067,0.3789,0.0000,0.0000,0.5076,0.7375,1.2893
mean_logprob,3226,-0.3952,0.2674,-1.0558,-0.5896,-0.4461,-0.0000,-0.0000,6118,-0.4067,0.3789,-1.2893,-0.7375,-0.5076,-0.0000,-0.0000
