problem,correct,total,accuracy_pct
1,327,519,63.01
2,381,552,69.02
3,278,486,57.20
4,208,480,43.33
5,259,530,48.87
6,167,483,34.58
7,210,484,43.39
8,231,523,44.17
9,166,539,30.80
10,122,518,23.55
11,105,523,20.08
12,136,495,27.47
13,102,485,21.03
14,82,524,15.65
15,30,481,6.24
