problem,bucket,metric,count,mean,std,min,p25,median,p75,max
8,correct,response_length_chars,231,16888.3290,7019.5035,5901.0000,12004.0000,15647.0000,20425.0000,44985.0000
8,correct,response_length_tokens,231,5541.2641,2231.7848,2381.0000,4029.0000,5111.0000,6484.0000,14904.0000
8,correct,mean_negative_logprob,231,0.5748,0.1649,0.2308,0.4502,0.5610,0.6907,0.9854
8,correct,mean_logprob,231,-0.5748,0.1649,-0.9854,-0.6907,-0.5610,-0.4502,-0.2308
8,incorrect,response_length_chars,292,29120.7808,9388.2810,6244.0000,22845.2500,28874.5000,36301.0000,53791.0000
8,incorrect,response_length_tokens,292,9615.7842,3236.1377,1908.0000,7794.2500,9647.5000,12115.0000,16000.0000
8,incorrect,mean_negative_logprob,292,0.6891,0.1556,0.3472,0.5764,0.6894,0.7863,1.0900
8,incorrect,mean_logprob,292,-0.6891,0.1556,-1.0900,-0.7863,-0.6894,-0.5764,-0.3472
9,correct,response_length_chars,166,14405.8373,6486.1051,4681.0000,10011.0000,12750.0000,17555.0000,31786.0000
9,correct,response_length_tokens,166,5083.5120,2608.6054,1578.0000,3444.0000,4314.0000,6083.0000,14893.0000
9,correct,mean_negative_logprob,166,0.4749,0.1194,0.2714,0.3926,0.4703,0.5530,0.7599
9,correct,mean_logprob,166,-0.4749,0.1194,-0.7599,-0.5530,-0.4703,-0.3926,-0.2714
9,incorrect,response_length_chars,373,27208.9357,9564.2618,2627.0000,20906.0000,28212.0000,34223.0000,54051.0000
9,incorrect,response_length_tokens,373,8678.0885,3228.5691,825.0000,6563.0000,8529.0000,10901.0000,16000.0000
9,incorrect,mean_negative_logprob,373,0.6965,0.2110,0.2772,0.5471,0.6649,0.8433,1.2059
9,incorrect,mean_logprob,373,-0.6965,0.2110,-1.2059,-0.8433,-0.6649,-0.5471,-0.2772
10,correct,response_length_chars,122,17113.3852,8725.3167,5690.0000,10169.0000,15696.0000,20763.5000,44611.0000
10,correct,response_length_tokens,122,5261.1557,2198.4486,2119.0000,3447.0000,4945.0000,6405.0000,11947.0000
