metric,correct_count,correct_mean,correct_std,correct_min,correct_p25,correct_median,correct_p75,correct_max,incorrect_count,incorrect_mean,incorrect_std,incorrect_min,incorrect_p25,incorrect_median,incorrect_p75,incorrect_max
response_length_chars,7648,4872.9540,2317.5481,967.0000,3134.0000,4356.0000,6078.0000,15753.0000,18322,9085.6143,3103.2229,750.0000,6844.0000,9032.0000,11364.0000,16000.0000
response_length_tokens,4426,2227.9742,2932.7902,0.0000,0.0000,0.0000,4017.7500,14904.0000,10066,3872.1921,4980.0731,0.0000,0.0000,0.0000,8529.0000,16000.0000
mean_negative_logprob,7648,0.1871,0.2630,0.0000,0.0000,0.0000,0.4155,1.0558,18322,0.2569,0.3518,0.0000,0.0000,0.0000,0.6227,1.2373
mean_logprob,7648,-0.1871,0.2630,-1.0558,-0.4155,-0.0000,-0.0000,-0.0000,18322,-0.2569,0.3518,-1.2373,-0.6227,-0.0000,-0.0000,-0.0000
